dataset,typo,expected,expected1,expected2,corrected,japanese,category,exact_match,edit_distance,response_time
Real Data,kanserushimazu,キャンセルします,キャンセルします,,がんばってます,キャンセルします,substitution+deletion,False,6,1.41
Real Data,sousimazu,そうします,そうします,,すみません,そうします,substitution,False,5,0.66
Real Data,roukaidesu,了解です or 廊下です,了解です,廊下です,よろしくお願いします,了解です,deletion,False,9,0.66
Real Data,okdesu,OKです or オッケーです,OKです,オッケーです,おめでとう,OKです,omission,False,4,0.69
Real Data,daijyobudesu,大丈夫です or だいじょうぶです,大丈夫です,だいじょうぶです,だいじょうぶです,大丈夫です,deletion,True,0,0.83
Real Data,gwnnki,元気 or げんき,元気,げんき,ごめんなさい,元気,substitution,False,5,0.70
Real Data,mattetekudadai,待っててください,待っててください,,マテテク大学,待っててください,substitution,False,8,0.84
Real Data,shinkanswn,新幹線,新幹線,,しんかんそう,新幹線,substitution,False,6,0.76
Virtual Data,srigatou,有難う or ありがとう,有難う,ありがとう,すみません,ありがとう,substitution,False,5,0.65
Virtual Data,arigatoi,有難う or ありがとう,有難う,ありがとう,ありがとう,ありがとう,substitution,True,0,0.65
Virtual Data,kawsii,可愛い or かわいい,可愛い,かわいい,かわいい,かわいい,substitution,True,0,0.64
Virtual Data,onegiashimasu,お願いします or おねがいします,お願いします,おねがいします,お疲れ様です,お願いします,transposition,False,4,0.71
Virtual Data,konichiwa,こんにちは,こんにちは,,こんにちは,こんにちは,deletion,True,0,0.66
Virtual Data,arigatouu,有難う or ありがとう,有難う,ありがとう,ありがとう,ありがとう,insertion,True,0,0.64
Virtual Data,konniciha,こんにちは,こんにちは,,こんにちは,こんにちは,transposition,True,0,0.66
Virtual Data,tanoshu,楽しい or たのしい,楽しい,たのしい,Tanoshu,たのしい,substitution,False,7,0.79
Virtual Data,gwnki,元気 or げんき,元気,げんき,ごめんなさい,げんき,substitution,False,5,0.69
Proper Noun Data,openai,OpenAI,OpenAI,,OpenAI,,proper_noun_normalization,True,0,0.71
Proper Noun Data,github,GitHub,GitHub,,Github,,proper_noun_normalization,False,1,0.71
Proper Noun Data,iphone,iPhone,iPhone,,iphone,,proper_noun_normalization,False,1,0.64
Proper Noun Data,ipad,iPad,iPad,,iPAD,,proper_noun_normalization,False,2,0.76
Proper Noun Data,macbook,MacBook,MacBook,,MacBook,,proper_noun_normalization,True,0,0.71
Proper Noun Data,macos,macOS,macOS,,MacOS,,proper_noun_normalization,False,1,0.69
Proper Noun Data,ios,iOS,iOS,,ios,,proper_noun_normalization,False,2,0.64
Proper Noun Data,youtube,YouTube,YouTube,,YouTube,,proper_noun_normalization,True,0,0.66
Proper Noun Data,google,Google,Google,,Google,,proper_noun_normalization,True,0,0.64
Proper Noun Data,microsoft,Microsoft,Microsoft,,Microsoft,,proper_noun_normalization,True,0,0.65
Proper Noun Data,windows,Windows,Windows,,Windows,,proper_noun_normalization,True,0,0.65
Proper Noun Data,facebook,Facebook,Facebook,,Facebook,,proper_noun_normalization,True,0,0.64
Proper Noun Data,instagram,Instagram,Instagram,,Instagram,,proper_noun_normalization,True,0,0.65
Proper Noun Data,twitter,Twitter,Twitter,,Twitter,,proper_noun_normalization,True,0,0.65
Proper Noun Data,linkedin,LinkedIn,LinkedIn,,LinkedIn,,proper_noun_normalization,True,0,0.64
Proper Noun Data,amazon,Amazon,Amazon,,Amazon,,proper_noun_normalization,True,0,0.65
Proper Noun Data,android,Android,Android,,Android,,proper_noun_normalization,True,0,0.66
Proper Noun Data,linux,Linux,Linux,,Linus,,proper_noun_normalization,False,1,0.69
Proper Noun Data,javascript,JavaScript,JavaScript,,JavaScript,,proper_noun_normalization,True,0,0.64
Proper Noun Data,typescript,TypeScript,TypeScript,,typescript,,proper_noun_normalization,False,2,0.65
Proper Noun Data,python,Python,Python,,python,,proper_noun_normalization,False,1,0.65
Proper Noun Data,mysql,MySQL,MySQL,,mysql,,proper_noun_normalization,False,4,0.66
Proper Noun Data,postgresql,PostgreSQL,PostgreSQL,,PostgreSQL,,proper_noun_normalization,True,0,0.65
Proper Noun Data,mongodb,MongoDB,MongoDB,,mongodb,,proper_noun_normalization,False,3,0.65
Proper Noun Data,apple intelligence,Apple Intelligence,Apple Intelligence,,Apple Intelligence,,proper_noun_normalization,True,0,0.69
Proper Noun Data,apple intelligenceban,Apple Intelligence版,Apple Intelligence版,,Apple Intelligence 班,,proper_noun_normalization_with_typo,False,2,0.76
Proper Noun Data,chatgpt,ChatGPT,ChatGPT,,chatgpt,,proper_noun_normalization,False,4,0.63
Proper Noun Data,claude,Claude,Claude,,Claudie,,proper_noun_normalization,False,1,0.71